LineID,Subsystem,Sensor,Value
95,Subsystem D,Sensor M,-1.571
96,Subsystem C,Sensor J,1.479
97,Subsystem A,Sensor D,1.769
98,Subsystem B,Sensor H,4.787
99,Subsystem D,Sensor N,-1.693
100,Subsystem A,Sensor C,7.768
101,Subsystem A,Sensor C,5.955
102,Subsystem A,Sensor B,1.249
103,Subsystem B,Sensor G,13.872
104,Subsystem A,Sensor D,1.251
105,Subsystem A,Sensor B,1.025
106,Subsystem C,Sensor K,5.972
107,Subsystem D,Sensor O,-1.234
108,Subsystem B,Sensor F,13.771
109,Subsystem C,Sensor J,2.356
110,Subsystem D,Sensor P,-1.169
111,Subsystem A,Sensor C,7.789
112,Subsystem A,Sensor D,1.625
113,Subsystem A,Sensor A,7.762
114,Subsystem B,Sensor F,11.287
115,Subsystem C,Sensor K,7.307
116,Subsystem C,Sensor I,8.252
117,Subsystem B,Sensor F,14.739
118,Subsystem A,Sensor B,1.474
119,Subsystem B,Sensor E,11.333
120,Subsystem D,Sensor P,-0.471
121,Subsystem B,Sensor H,5.663
122,Subsystem C,Sensor L,10.120
123,Subsystem A,Sensor B,1.058
124,Subsystem D,Sensor M,-2.485
125,Subsystem D,Sensor N,-2.781
126,Subsystem A,Sensor A,7.687
127,Subsystem C,Sensor K,5.933
128,Subsystem D,Sensor N,-1.276
129,Subsystem A,Sensor A,7.539
130,Subsystem A,Sensor C,7.258
131,Subsystem B,Sensor G,14.524
132,Subsystem A,Sensor C,4.955
133,Subsystem A,Sensor D,2.901
134,Subsystem C,Sensor J,2.450
135,Subsystem C,Sensor I,10.806
136,Subsystem C,Sensor K,4.773
137,Subsystem A,Sensor B,1.638
138,Subsystem D,Sensor P,-1.264
139,Subsystem B,Sensor H,4.043
140,Subsystem B,Sensor E,9.308
141,Subsystem B,Sensor E,9.989
142,Subsystem C,Sensor L,7.890
143,Subsystem A,Sensor D,2.763
144,Subsystem B,Sensor H,5.481
145,Subsystem A,Sensor B,1.185
146,Subsystem D,Sensor P,-0.209
147,Subsystem C,Sensor L,7.951
148,Subsystem D,Sensor O,-1.518
149,Subsystem B,Sensor E,12.153
150,Subsystem A,Sensor B,1.166
151,Subsystem D,Sensor N,-2.852
152,Subsystem D,Sensor M,-3.000
153,Subsystem A,Sensor D,2.965
154,Subsystem B,Sensor E,9.049
155,Subsystem A,Sensor D,1.406
156,Subsystem A,Sensor D,4.411
157,Subsystem D,Sensor M,-2.178
158,Subsystem B,Sensor F,14.147
159,Subsystem B,Sensor G,13.647
160,Subsystem B,Sensor F,15.000
161,Subsystem B,Sensor E,10.793
162,Subsystem C,Sensor L,8.014
163,Subsystem D,Sensor P,-0.340
164,Subsystem B,Sensor H,3.930
165,Subsystem C,Sensor J,2.471
166,Subsystem C,Sensor K,7.826
167,Subsystem D,Sensor O,-2.909
168,Subsystem C,Sensor I,7.575
169,Subsystem A,Sensor A,5.191
170,Subsystem C,Sensor J,2.002
171,Subsystem A,Sensor D,3.538
172,Subsystem A,Sensor A,7.648
173,Subsystem A,Sensor D,3.000
174,Subsystem C,Sensor L,10.030
175,Subsystem D,Sensor P,-2.213
176,Subsystem B,Sensor G,14.735
177,Subsystem B,Sensor G,12.207
178,Subsystem D,Sensor P,-1.131
179,Subsystem D,Sensor O,-2.490
180,Subsystem A,Sensor D,1.920
181,Subsystem A,Sensor C,5.340
182,Subsystem C,Sensor J,1.357
183,Subsystem B,Sensor E,10.880
184,Subsystem A,Sensor B,1.183
185,Subsystem C,Sensor J,1.008
186,Subsystem C,Sensor L,10.037
187,Subsystem A,Sensor B,1.560
188,Subsystem C,Sensor J,1.342
189,Subsystem A,Sensor A,7.319
190,Subsystem B,Sensor E,12.516
191,Subsystem A,Sensor C,7.270
192,Subsystem A,Sensor B,1.320
193,Subsystem C,Sensor L,8.886
194,Subsystem A,Sensor A,4.971
195,Subsystem B,Sensor G,13.967
196,Subsystem B,Sensor G,14.432
197,Subsystem B,Sensor G,13.978
198,Subsystem B,Sensor G,14.947
199,Subsystem B,Sensor F,14.555
200,Subsystem A,Sensor D,1.796
201,Subsystem B,Sensor E,11.066
202,Subsystem C,Sensor I,11.942
203,Subsystem A,Sensor A,9.091
204,Subsystem B,Sensor F,10.874
205,Subsystem B,Sensor H,4.050
206,Subsystem D,Sensor P,-1.932
207,Subsystem D,Sensor P,-0.125
208,Subsystem B,Sensor H,6.838
209,Subsystem C,Sensor L,8.942
210,Subsystem D,Sensor N,-2.447
211,Subsystem D,Sensor N,-1.400
212,Subsystem A,Sensor B,1.112
213,Subsystem B,Sensor H,2.930
214,Subsystem A,Sensor B,1.220
215,Subsystem A,Sensor B,1.327
216,Subsystem C,Sensor K,6.687
217,Subsystem D,Sensor O,-2.722
218,Subsystem C,Sensor I,7.894
219,Subsystem A,Sensor A,7.776
220,Subsystem C,Sensor J,1.532
221,Subsystem B,Sensor G,12.525
222,Subsystem A,Sensor A,7.366
223,Subsystem C,Sensor J,1.410
224,Subsystem D,Sensor P,-0.048
225,Subsystem C,Sensor J,1.007
226,Subsystem A,Sensor A,7.470
227,Subsystem C,Sensor I,8.164
228,Subsystem C,Sensor K,7.934
229,Subsystem A,Sensor C,4.711
230,Subsystem B,Sensor G,14.888
231,Subsystem A,Sensor B,2.043
232,Subsystem A,Sensor C,8.211
233,Subsystem D,Sensor M,-2.892
234,Subsystem D,Sensor N,-1.507
235,Subsystem C,Sensor L,8.479
236,Subsystem C,Sensor J,1.248
237,Subsystem D,Sensor N,-1.234
238,Subsystem D,Sensor P,-0.653
239,Subsystem D,Sensor M,-2.399
240,Subsystem C,Sensor L,8.892
241,Subsystem D,Sensor O,-1.553
242,Subsystem C,Sensor K,4.538
243,Subsystem C,Sensor L,10.296
244,Subsystem C,Sensor L,10.245
245,Subsystem A,Sensor B,1.167
246,Subsystem B,Sensor G,14.968
247,Subsystem B,Sensor E,10.130
248,Subsystem D,Sensor M,-3.000
249,Subsystem C,Sensor K,6.617
250,Subsystem C,Sensor L,7.621
251,Subsystem C,Sensor L,7.367
252,Subsystem A,Sensor B,1.637
253,Subsystem A,Sensor A,6.931
254,Subsystem D,Sensor O,-1.421
255,Subsystem A,Sensor B,1.860
256,Subsystem B,Sensor G,12.882
257,Subsystem B,Sensor H,2.688
258,Subsystem A,Sensor D,2.958
259,Subsystem C,Sensor J,1.146
260,Subsystem C,Sensor K,5.600
261,Subsystem B,Sensor F,14.975
262,Subsystem C,Sensor J,1.715
263,Subsystem A,Sensor A,8.137
264,Subsystem A,Sensor B,1.274
265,Subsystem B,Sensor G,14.033
266,Subsystem D,Sensor P,-0.822
267,Subsystem C,Sensor K,4.802
268,Subsystem B,Sensor E,12.575
269,Subsystem B,Sensor G,14.115
270,Subsystem B,Sensor H,5.356
271,Subsystem C,Sensor K,4.318
272,Subsystem D,Sensor M,-2.908
273,Subsystem D,Sensor P,-0.379
274,Subsystem A,Sensor D,3.274
275,Subsystem A,Sensor B,1.355
276,Subsystem A,Sensor C,7.265
277,Subsystem B,Sensor E,11.870
278,Subsystem D,Sensor M,-2.560
279,Subsystem A,Sensor B,1.016
280,Subsystem C,Sensor J,1.502
281,Subsystem D,Sensor P,-0.259
282,Subsystem B,Sensor F,10.852
283,Subsystem B,Sensor F,14.919
284,Subsystem A,Sensor D,2.479
285,Subsystem D,Sensor M,-1.563
286,Subsystem B,Sensor F,14.354
287,Subsystem D,Sensor N,-0.871
288,Subsystem B,Sensor E,11.660
289,Subsystem D,Sensor P,0.000
290,Subsystem A,Sensor C,5.123
291,Subsystem D,Sensor M,-3.000
292,Subsystem A,Sensor C,7.482
293,Subsystem A,Sensor C,7.375
294,Subsystem D,Sensor N,-1.249
295,Subsystem B,Sensor F,11.256
296,Subsystem B,Sensor E,8.924
297,Subsystem A,Sensor B,1.919
298,Subsystem B,Sensor F,11.382
299,Subsystem C,Sensor I,10.876
300,Subsystem C,Sensor J,2.453
301,Subsystem A,Sensor B,1.108
302,Subsystem B,Sensor F,10.309
303,Subsystem B,Sensor H,3.840
304,Subsystem B,Sensor F,11.309
305,Subsystem B,Sensor E,12.457
306,Subsystem D,Sensor N,-0.733
307,Subsystem A,Sensor B,1.065
308,Subsystem C,Sensor J,2.871
309,Subsystem C,Sensor J,2.456
310,Subsystem A,Sensor D,3.084
311,Subsystem C,Sensor J,2.111
312,Subsystem D,Sensor P,-0.157
313,Subsystem B,Sensor G,12.419
314,Subsystem B,Sensor G,12.499
315,Subsystem D,Sensor O,-2.128
316,Subsystem D,Sensor N,-1.599
317,Subsystem A,Sensor B,1.000
318,Subsystem D,Sensor O,-1.873
319,Subsystem B,Sensor F,11.664
320,Subsystem B,Sensor F,10.765
321,Subsystem D,Sensor P,-1.711
322,Subsystem A,Sensor D,2.224
323,Subsystem B,Sensor F,11.667
324,Subsystem A,Sensor B,1.943
325,Subsystem D,Sensor N,-2.116
326,Subsystem C,Sensor K,6.458
327,Subsystem C,Sensor L,10.664
328,Subsystem D,Sensor P,-0.271
329,Subsystem D,Sensor N,-1.215
330,Subsystem A,Sensor A,8.765
331,Subsystem D,Sensor O,-2.695
332,Subsystem B,Sensor F,13.030
333,Subsystem D,Sensor O,-2.314
334,Subsystem D,Sensor M,-2.648
335,Subsystem B,Sensor G,14.865
336,Subsystem D,Sensor N,-0.832
337,Subsystem A,Sensor B,2.044
338,Subsystem D,Sensor N,-1.929
339,Subsystem D,Sensor M,-2.056
340,Subsystem D,Sensor M,-2.265
341,Subsystem B,Sensor G,14.497
342,Subsystem A,Sensor D,2.790
343,Subsystem B,Sensor E,10.601
344,Subsystem B,Sensor E,11.941
345,Subsystem D,Sensor N,-1.027
346,Subsystem B,Sensor E,11.276
347,Subsystem D,Sensor M,-2.115
348,Subsystem A,Sensor D,2.680
349,Subsystem D,Sensor N,-1.272
350,Subsystem B,Sensor E,10.825
351,Subsystem B,Sensor E,12.143
352,Subsystem D,Sensor N,-1.550
353,Subsystem A,Sensor D,2.831
354,Subsystem A,Sensor A,7.808
355,Subsystem C,Sensor J,2.201
356,Subsystem C,Sensor K,5.892
357,Subsystem C,Sensor J,1.621
358,Subsystem A,Sensor D,2.938
359,Subsystem C,Sensor K,7.766
360,Subsystem D,Sensor M,-1.751
361,Subsystem B,Sensor H,5.351
362,Subsystem C,Sensor K,7.129
363,Subsystem B,Sensor H,6.034
364,Subsystem B,Sensor E,11.926
365,Subsystem B,Sensor G,13.856
366,Subsystem D,Sensor M,-2.127
367,Subsystem D,Sensor N,-2.317
368,Subsystem C,Sensor K,4.432
369,Subsystem C,Sensor K,5.868
370,Subsystem C,Sensor L,9.591
371,Subsystem D,Sensor N,-1.692
372,Subsystem D,Sensor P,-1.336
373,Subsystem C,Sensor K,7.914
374,Subsystem B,Sensor E,8.795
375,Subsystem D,Sensor N,-1.334
376,Subsystem C,Sensor I,9.770
377,Subsystem A,Sensor A,10.266
378,Subsystem B,Sensor H,3.890
379,Subsystem B,Sensor E,11.620
380,Subsystem D,Sensor P,0.000
381,Subsystem A,Sensor B,1.274
382,Subsystem A,Sensor B,1.323
383,Subsystem C,Sensor L,8.700
384,Subsystem C,Sensor L,8.086
385,Subsystem A,Sensor A,5.001
386,Subsystem C,Sensor I,9.649
387,Subsystem A,Sensor B,1.374
388,Subsystem D,Sensor M,-2.758
389,Subsystem C,Sensor K,5.532
390,Subsystem A,Sensor B,1.526
391,Subsystem A,Sensor D,1.628
392,Subsystem C,Sensor J,1.285
393,Subsystem C,Sensor K,6.513
394,Subsystem D,Sensor M,-1.926
395,Subsystem D,Sensor M,-2.095
396,Subsystem D,Sensor P,-2.575
397,Subsystem C,Sensor K,7.663
398,Subsystem A,Sensor B,1.675
399,Subsystem B,Sensor H,5.460
400,Subsystem D,Sensor P,-0.331
401,Subsystem A,Sensor A,5.457
402,Subsystem C,Sensor K,4.635
403,Subsystem A,Sensor D,3.194
404,Subsystem A,Sensor A,9.867
405,Subsystem D,Sensor O,-2.578
406,Subsystem D,Sensor M,-2.064
407,Subsystem A,Sensor D,1.805
408,Subsystem A,Sensor B,1.541
409,Subsystem B,Sensor G,12.800
410,Subsystem C,Sensor I,8.152
411,Subsystem C,Sensor I,9.419
412,Subsystem B,Sensor F,10.720
413,Subsystem B,Sensor H,6.455
414,Subsystem B,Sensor F,12.497
415,Subsystem A,Sensor D,3.320
416,Subsystem A,Sensor D,3.846
417,Subsystem D,Sensor N,-1.601
418,Subsystem A,Sensor A,5.454
419,Subsystem A,Sensor A,8.601
420,Subsystem B,Sensor G,13.789
421,Subsystem B,Sensor E,9.285
422,Subsystem D,Sensor M,-2.849
423,Subsystem A,Sensor B,1.339
424,Subsystem B,Sensor F,11.256
425,Subsystem C,Sensor J,1.105
426,Subsystem A,Sensor C,5.393
427,Subsystem D,Sensor M,-2.687
428,Subsystem B,Sensor H,2.685
429,Subsystem D,Sensor N,-2.103
430,Subsystem B,Sensor F,14.693
431,Subsystem B,Sensor F,12.690
432,Subsystem B,Sensor F,11.219
433,Subsystem D,Sensor M,-2.036
434,Subsystem A,Sensor C,5.535
435,Subsystem B,Sensor F,11.043
436,Subsystem B,Sensor E,10.877
437,Subsystem C,Sensor K,7.832
438,Subsystem D,Sensor M,-2.535
439,Subsystem C,Sensor L,8.769
440,Subsystem D,Sensor O,-2.502
441,Subsystem B,Sensor E,10.899
442,Subsystem D,Sensor O,-2.249
443,Subsystem B,Sensor F,11.827
444,Subsystem A,Sensor A,7.521
445,Subsystem C,Sensor L,8.139
446,Subsystem C,Sensor K,5.270
447,Subsystem D,Sensor N,-0.560
448,Subsystem D,Sensor N,-2.216
449,Subsystem D,Sensor M,-2.893
450,Subsystem C,Sensor J,1.197
451,Subsystem D,Sensor M,-2.298
452,Subsystem B,Sensor H,7.134
453,Subsystem B,Sensor H,6.592
454,Subsystem B,Sensor E,9.301
455,Subsystem C,Sensor J,1.161
456,Subsystem C,Sensor J,1.741
457,Subsystem C,Sensor L,10.118
458,Subsystem C,Sensor K,7.243
459,Subsystem D,Sensor P,-1.542
460,Subsystem D,Sensor O,-2.267
461,Subsystem C,Sensor I,9.458
462,Subsystem D,Sensor M,-2.713
463,Subsystem D,Sensor N,-1.108
464,Subsystem A,Sensor A,8.176
465,Subsystem B,Sensor H,3.268
466,Subsystem D,Sensor N,0.000
467,Subsystem A,Sensor D,1.847
468,Subsystem A,Sensor B,1.350
469,Subsystem C,Sensor J,1.641
470,Subsystem A,Sensor D,2.738
471,Subsystem B,Sensor H,6.884
472,Subsystem B,Sensor H,6.132
473,Subsystem B,Sensor E,11.783
474,Subsystem B,Sensor F,13.433
475,Subsystem C,Sensor L,8.924
476,Subsystem D,Sensor P,0.000
477,Subsystem C,Sensor L,9.906
478,Subsystem C,Sensor K,4.698
479,Subsystem D,Sensor N,-1.073
480,Subsystem B,Sensor G,14.699
481,Subsystem A,Sensor C,7.714
482,Subsystem D,Sensor N,-1.506
483,Subsystem B,Sensor G,13.327
484,Subsystem A,Sensor D,2.018
485,Subsystem C,Sensor K,8.616
486,Subsystem C,Sensor L,7.706
487,Subsystem A,Sensor C,8.992
488,Subsystem A,Sensor B,1.000
489,Subsystem D,Sensor N,-1.060
490,Subsystem C,Sensor I,9.437
491,Subsystem B,Sensor F,14.798
492,Subsystem D,Sensor M,-1.781
493,Subsystem D,Sensor M,-2.110
494,Subsystem D,Sensor N,-0.187
495,Subsystem B,Sensor G,13.800
496,Subsystem C,Sensor I,10.926
497,Subsystem C,Sensor J,1.853
498,Subsystem C,Sensor K,4.658
499,Subsystem C,Sensor K,4.918
500,Subsystem A,Sensor C,5.460
501,Subsystem A,Sensor D,3.387
502,Subsystem C,Sensor J,2.090
503,Subsystem D,Sensor O,-2.773
504,Subsystem D,Sensor N,-1.639
505,Subsystem A,Sensor C,6.390
506,Subsystem A,Sensor C,5.865
507,Subsystem C,Sensor I,7.803
508,Subsystem C,Sensor K,7.398
509,Subsystem D,Sensor O,-2.157
510,Subsystem A,Sensor B,1.693
511,Subsystem B,Sensor E,12.268
512,Subsystem C,Sensor K,5.415
513,Subsystem C,Sensor K,5.344
514,Subsystem D,Sensor O,-2.862
515,Subsystem C,Sensor L,7.572
516,Subsystem C,Sensor J,2.010
517,Subsystem D,Sensor O,-2.718
518,Subsystem D,Sensor O,-1.785
519,Subsystem C,Sensor L,8.996
520,Subsystem D,Sensor P,-2.275
521,Subsystem A,Sensor C,8.533
522,Subsystem B,Sensor G,14.155
523,Subsystem D,Sensor N,-2.222
524,Subsystem A,Sensor A,7.501
525,Subsystem C,Sensor J,1.741
526,Subsystem A,Sensor A,7.247
527,Subsystem C,Sensor K,7.416
528,Subsystem D,Sensor O,-1.020
529,Subsystem A,Sensor D,2.929
530,Subsystem A,Sensor A,9.083
531,Subsystem B,Sensor H,6.203
532,Subsystem A,Sensor A,7.502
533,Subsystem C,Sensor K,7.232
534,Subsystem C,Sensor K,5.897
535,Subsystem D,Sensor P,-0.169
536,Subsystem C,Sensor J,1.566
537,Subsystem C,Sensor L,9.340
538,Subsystem B,Sensor F,11.030
539,Subsystem B,Sensor E,10.186
540,Subsystem B,Sensor E,10.847
541,Subsystem B,Sensor H,3.037
542,Subsystem A,Sensor B,1.335
543,Subsystem A,Sensor A,9.892
544,Subsystem B,Sensor F,11.175
545,Subsystem C,Sensor K,7.335
546,Subsystem C,Sensor K,7.822
547,Subsystem C,Sensor L,8.978
548,Subsystem C,Sensor K,5.422
549,Subsystem A,Sensor D,2.736
550,Subsystem B,Sensor F,14.197
551,Subsystem C,Sensor I,9.402
552,Subsystem A,Sensor B,1.171
553,Subsystem B,Sensor E,11.913
554,Subsystem C,Sensor I,7.493
555,Subsystem B,Sensor H,3.320
556,Subsystem B,Sensor E,9.654
557,Subsystem D,Sensor O,-0.653
558,Subsystem C,Sensor I,7.571
559,Subsystem C,Sensor L,7.852
560,Subsystem C,Sensor K,5.354
561,Subsystem A,Sensor C,6.943
562,Subsystem B,Sensor E,9.086
563,Subsystem C,Sensor L,7.960
564,Subsystem B,Sensor G,14.418
565,Subsystem D,Sensor P,-0.846
566,Subsystem C,Sensor J,1.324
567,Subsystem C,Sensor K,6.315
568,Subsystem A,Sensor C,5.127
569,Subsystem D,Sensor N,-0.943
570,Subsystem A,Sensor B,1.380
571,Subsystem C,Sensor J,2.541
572,Subsystem C,Sensor L,10.391
573,Subsystem C,Sensor L,8.095
574,Subsystem D,Sensor O,-2.100
575,Subsystem B,Sensor G,13.384
576,Subsystem D,Sensor N,-0.068
577,Subsystem A,Sensor C,3.798
578,Subsystem B,Sensor G,14.837
579,Subsystem B,Sensor F,13.315
580,Subsystem C,Sensor L,8.978
581,Subsystem D,Sensor N,-2.102
582,Subsystem C,Sensor J,2.077
583,Subsystem C,Sensor J,2.137
584,Subsystem A,Sensor A,8.917
585,Subsystem A,Sensor D,2.059
586,Subsystem D,Sensor O,-0.611
587,Subsystem C,Sensor K,5.812
588,Subsystem A,Sensor A,7.298
589,Subsystem A,Sensor A,8.539
590,Subsystem B,Sensor H,5.396
591,Subsystem B,Sensor G,13.853
592,Subsystem B,Sensor E,12.242
593,Subsystem D,Sensor P,-1.708
594,Subsystem B,Sensor H,2.957
595,Subsystem D,Sensor M,-1.971
596,Subsystem D,Sensor O,-1.206
597,Subsystem D,Sensor P,-0.418
598,Subsystem B,Sensor G,14.690
599,Subsystem A,Sensor C,7.053
600,Subsystem A,Sensor A,8.946
601,Subsystem D,Sensor M,-2.096
602,Subsystem B,Sensor F,11.180
603,Subsystem B,Sensor G,14.875
604,Subsystem A,Sensor A,8.990
605,Subsystem D,Sensor O,-0.736
606,Subsystem B,Sensor F,14.656
607,Subsystem D,Sensor P,-1.466
608,Subsystem D,Sensor P,-0.119
609,Subsystem D,Sensor P,-1.757
610,Subsystem B,Sensor G,14.487
611,Subsystem B,Sensor F,10.091
612,Subsystem D,Sensor P,-0.030
613,Subsystem C,Sensor K,7.919
614,Subsystem A,Sensor A,9.767
615,Subsystem C,Sensor K,7.652
616,Subsystem D,Sensor N,-0.942
617,Subsystem B,Sensor F,13.205
618,Subsystem A,Sensor D,3.189
619,Subsystem D,Sensor N,-1.546
620,Subsystem D,Sensor O,-0.737
621,Subsystem A,Sensor C,5.961
622,Subsystem B,Sensor H,4.500
623,Subsystem B,Sensor E,12.265
624,Subsystem D,Sensor O,-2.229
625,Subsystem B,Sensor F,11.228
626,Subsystem B,Sensor G,14.666
627,Subsystem D,Sensor O,-1.010
628,Subsystem C,Sensor K,5.245
629,Subsystem C,Sensor K,8.605
630,Subsystem D,Sensor O,-2.712
631,Subsystem C,Sensor K,8.151
632,Subsystem D,Sensor N,-1.684
633,Subsystem C,Sensor J,1.291
634,Subsystem B,Sensor H,4.428
635,Subsystem A,Sensor C,7.748
636,Subsystem D,Sensor P,0.000
637,Subsystem A,Sensor C,7.633
638,Subsystem B,Sensor H,6.921
639,Subsystem C,Sensor K,7.822
640,Subsystem A,Sensor C,7.971
641,Subsystem B,Sensor E,12.587
642,Subsystem B,Sensor F,13.288
643,Subsystem A,Sensor C,7.376
644,Subsystem C,Sensor K,8.194
645,Subsystem A,Sensor C,5.688
646,Subsystem D,Sensor P,-2.547
647,Subsystem D,Sensor P,-0.572
648,Subsystem C,Sensor J,1.468
649,Subsystem D,Sensor N,-2.322
650,Subsystem D,Sensor M,-2.027
651,Subsystem A,Sensor C,4.598
652,Subsystem D,Sensor O,-1.008
653,Subsystem D,Sensor P,-1.980
654,Subsystem D,Sensor P,0.000
655,Subsystem D,Sensor P,-1.801
656,Subsystem B,Sensor F,13.438
657,Subsystem D,Sensor N,-1.506
658,Subsystem A,Sensor B,1.109
659,Subsystem D,Sensor M,-1.917
660,Subsystem A,Sensor B,1.190
661,Subsystem A,Sensor A,10.111
662,Subsystem C,Sensor J,1.830
663,Subsystem C,Sensor I,10.164
664,Subsystem D,Sensor N,-2.501
665,Subsystem A,Sensor A,7.861
666,Subsystem B,Sensor F,14.863
667,Subsystem C,Sensor I,8.072
668,Subsystem D,Sensor O,-2.468
669,Subsystem C,Sensor K,4.467
670,Subsystem C,Sensor I,11.527
671,Subsystem D,Sensor N,-2.687
672,Subsystem A,Sensor B,1.281
673,Subsystem C,Sensor L,8.039
674,Subsystem D,Sensor P,-0.380
675,Subsystem C,Sensor L,9.861
676,Subsystem B,Sensor E,9.893
677,Subsystem C,Sensor I,7.833
678,Subsystem C,Sensor L,10.773
679,Subsystem B,Sensor G,15.000
680,Subsystem B,Sensor H,3.281
681,Subsystem D,Sensor P,-1.082
682,Subsystem C,Sensor I,9.493
683,Subsystem C,Sensor K,7.059
684,Subsystem C,Sensor K,5.292
685,Subsystem D,Sensor M,-2.243
686,Subsystem A,Sensor D,1.565
687,Subsystem C,Sensor K,6.877
688,Subsystem C,Sensor I,11.663
689,Subsystem A,Sensor B,1.069
690,Subsystem A,Sensor A,9.049
691,Subsystem C,Sensor J,1.361
692,Subsystem D,Sensor N,0.000
693,Subsystem C,Sensor I,12.335
694,Subsystem C,Sensor I,9.201
695,Subsystem C,Sensor I,8.186
696,Subsystem D,Sensor N,-1.827
697,Subsystem A,Sensor D,3.098
698,Subsystem D,Sensor N,-0.115
699,Subsystem C,Sensor I,7.343
700,Subsystem C,Sensor I,7.761
701,Subsystem B,Sensor H,5.003
702,Subsystem C,Sensor J,1.756
703,Subsystem B,Sensor E,11.051
704,Subsystem D,Sensor P,-0.710
705,Subsystem B,Sensor F,11.477
706,Subsystem D,Sensor P,-2.159
707,Subsystem C,Sensor K,7.762
708,Subsystem B,Sensor G,14.059
709,Subsystem B,Sensor F,11.046
710,Subsystem D,Sensor P,-1.261
711,Subsystem B,Sensor E,9.579
712,Subsystem B,Sensor F,13.347
713,Subsystem B,Sensor H,2.974
714,Subsystem B,Sensor H,3.158
715,Subsystem B,Sensor H,6.262
716,Subsystem A,Sensor B,1.212
717,Subsystem D,Sensor O,-2.366
718,Subsystem D,Sensor N,-1.385
719,Subsystem B,Sensor H,6.548
720,Subsystem D,Sensor M,-2.122
721,Subsystem B,Sensor G,13.914
722,Subsystem A,Sensor A,6.558
723,Subsystem B,Sensor G,13.772
724,Subsystem C,Sensor I,7.812
725,Subsystem B,Sensor G,13.461
